descripcion,categoria,monto,descripcion_limpia
*supermercado*,Alimentación,647.41,supermercado
COMPRA EN SUPERMERCADO,Alimentación,498.99,compra en supermercado
*supermercado*,Alimentación,384.37,supermercado
*supermercado*,Alimentación,93.56,supermercado
COMPRA EN SUPERMERCADO,Alimentación,300.28,compra en supermercado
COMPRA EN WALMART,Alimentación,581.05,compra en walmart
$Walmart,Alimentación,92.31,walmart
COMPRA EN WALMART,Alimentación,674.33,compra en walmart
$Walmart,Alimentación,50.58,walmart
Walmart,Alimentación,513.11,walmart
$Soriana,Alimentación,55.3,soriana
pago con tarjeta en Soriana,Alimentación,268.42,pago con tarjeta en soriana
SORIANA,Alimentación,336.85,soriana
soriana,Alimentación,494.31,soriana
SORIANA,Alimentación,694.96,soriana
*Chedraui*,Alimentación,177.89,chedraui
*Chedraui*,Alimentación,59.95,chedraui
pago con tarjeta en Chedraui,Alimentación,774.22,pago con tarjeta en chedraui
pago Chedraui,Alimentación,339.06,pago chedraui
Chedraui,Alimentación,223.17,chedraui
*Bodega Aurrera*,Alimentación,507.5,bodega aurrera
COMPRA EN BODEGA AURRERA,Alimentación,75.79,compra en bodega aurrera
compra Bodega Aurrera,Alimentación,244.08,compra bodega aurrera
COMPRA EN BODEGA AURRERA,Alimentación,616.52,compra en bodega aurrera
$Bodega Aurrera,Alimentación,205.96,bodega aurrera
comer,Alimentación,188.64,comer
pago Comer,Alimentación,631.35,pago comer
pago Comer,Alimentación,346.36,pago comer
comer,Alimentación,498.42,comer
COMPRA EN COMER,Alimentación,477.83,compra en comer
pago con tarjeta en restaurante,Alimentación,770.88,pago con tarjeta en restaurante
Restaurante,Alimentación,341.51,restaurante
pago restaurante,Alimentación,454.77,pago restaurante
COMPRA EN RESTAURANTE,Alimentación,317.56,compra en restaurante
pago con tarjeta en restaurante,Alimentación,272.21,pago con tarjeta en restaurante
compra tortilleria,Alimentación,61.73,compra tortilleria
pago con tarjeta en tortilleria,Alimentación,629.18,pago con tarjeta en tortilleria
COMPRA EN TORTILLERIA,Alimentación,54.14,compra en tortilleria
TORTILLERIA,Alimentación,580.14,tortilleria
TORTILLERIA,Alimentación,642.63,tortilleria
Panaderia,Alimentación,744.73,panaderia
pago con tarjeta en panaderia,Alimentación,736.22,pago con tarjeta en panaderia
pago con tarjeta en panaderia,Alimentación,517.47,pago con tarjeta en panaderia
pago panaderia,Alimentación,121.56,pago panaderia
*panaderia*,Alimentación,283.24,panaderia
COMPRA EN FRUTERIA,Alimentación,549.44,compra en fruteria
COMPRA EN FRUTERIA,Alimentación,256.04,compra en fruteria
FRUTERIA,Alimentación,404.16,fruteria
Fruteria,Alimentación,778.78,fruteria
FRUTERIA,Alimentación,620.59,fruteria
*carniceria*,Alimentación,628.23,carniceria
*carniceria*,Alimentación,80.33,carniceria
CARNICERIA,Alimentación,73.57,carniceria
*carniceria*,Alimentación,406.53,carniceria
carniceria,Alimentación,730.67,carniceria
*pollo asado*,Alimentación,503.31,pollo asado
pollo asado,Alimentación,757.14,pollo asado
*pollo asado*,Alimentación,267.31,pollo asado
$pollo asado,Alimentación,710.35,pollo asado
pago con tarjeta en pollo asado,Alimentación,129.12,pago con tarjeta en pollo asado
compra de huevos,Alimentación,120.00,compra de huevos
huevos,Alimentación,80.00,huevos
docena de huevos,Alimentación,100.00,docena de huevos
pago huevos,Alimentación,90.00,pago huevos
leche,Alimentación,70.00,leche
compra leche,Alimentación,80.00,compra leche
pan,Alimentación,50.00,pan
compra pan,Alimentación,60.00,compra pan
pan de caja,Alimentación,70.00,pan de caja
fruta,Alimentación,150.00,fruta
compra fruta,Alimentación,140.00,compra fruta
manzanas,Alimentación,90.00,manzanas
platano,Alimentación,60.00,platano
naranja,Alimentación,70.00,naranja
verdura,Alimentación,130.00,verdura
compra verdura,Alimentación,120.00,compra verdura
tomate,Alimentación,60.00,tomate
